date,cpi_general,cpi_food,cpi_fuel,cpi_housing,cpi_clothing,cpi_misc,cpi_general_yoy_pct,cpi_food_yoy_pct,cpi_fuel_yoy_pct,cpi_housing_yoy_pct,cpi_clothing_yoy_pct,cpi_misc_yoy_pct,purchasing_power_100,real_erosion_pct
2019-01-01,139.0,142.5,135.9,132.1,128.0,140.0,,,,,,,100.0,0.0
2019-02-01,138.8,141.6,136.0,131.3,127.9,140.5,,,,,,,100.14,-0.14
2019-03-01,139.7,142.2,136.8,132.9,128.5,141.0,,,,,,,99.5,0.5
2019-04-01,140.9,143.1,138.4,133.9,129.7,141.5,,,,,,,98.65,1.37
2019-05-01,141.0,144.5,138.3,133.8,130.1,142.4,,,,,,,98.58,1.44
2019-06-01,142.4,144.7,139.3,134.6,131.2,143.6,,,,,,,97.61,2.45
2019-07-01,143.2,145.8,141.0,135.5,131.9,143.6,,,,,,,97.07,3.02
2019-08-01,143.7,146.3,140.1,137.0,132.6,145.0,,,,,,,96.73,3.38
2019-09-01,144.2,147.4,141.2,137.2,132.5,144.8,,,,,,,96.39,3.74
2019-10-01,146.2,148.4,143.5,139.6,134.6,147.4,,,,,,,95.08,5.18
2019-11-01,148.2,151.9,145.4,140.8,136.4,149.6,,,,,,,93.79,6.62
2019-12-01,150.7,153.6,146.8,143.3,138.6,152.8,,,,,,,92.24,8.42
2020-01-01,153.3,156.2,149.1,145.6,141.4,154.6,10.29,9.61,9.71,10.22,10.47,10.43,90.67,10.29
2020-02-01,152.7,155.4,148.9,144.7,140.4,153.6,10.01,9.75,9.49,10.21,9.77,9.32,91.03,9.86
2020-03-01,151.7,155.3,148.5,144.1,139.9,154.0,8.59,9.21,8.55,8.43,8.87,9.22,91.63,9.14
2020-04-01,152.5,159.0,149.6,145.1,140.3,153.1,8.23,11.11,8.09,8.36,8.17,8.2,91.15,9.71
2020-05-01,152.3,159.1,149.8,144.8,139.9,153.7,8.01,10.1,8.32,8.22,7.53,7.94,91.27,9.57
2020-06-01,153.8,160.1,150.5,146.5,141.8,155.7,8.01,10.64,8.04,8.84,8.08,8.43,90.38,10.65
2020-07-01,155.1,158.4,152.4,147.3,142.7,156.3,8.31,8.64,8.09,8.71,8.19,8.84,89.62,11.58
2020-08-01,156.1,159.2,154.3,148.6,143.5,157.4,8.63,8.82,10.14,8.47,8.22,8.55,89.05,12.3
2020-09-01,156.9,159.7,154.0,149.2,144.1,158.7,8.81,8.34,9.07,8.75,8.75,9.6,88.59,12.88
2020-10-01,157.7,160.6,155.4,149.9,145.4,159.0,7.87,8.22,8.29,7.38,8.02,7.87,88.14,13.45
2020-11-01,157.3,160.3,154.3,149.8,144.8,158.3,6.14,5.53,6.12,6.39,6.16,5.82,88.37,13.17
2020-12-01,158.5,161.7,155.3,150.4,145.7,161.0,5.18,5.27,5.79,4.95,5.12,5.37,87.7,14.03
2021-01-01,157.8,160.8,154.1,150.1,145.2,159.3,2.94,2.94,3.35,3.09,2.69,3.04,88.09,13.53
2021-02-01,157.0,160.5,154.2,149.3,144.6,158.7,2.82,3.28,3.56,3.18,2.99,3.32,88.54,12.95
2021-03-01,157.6,160.5,154.2,149.6,145.0,158.6,3.89,3.35,3.84,3.82,3.65,2.99,88.2,13.38
2021-04-01,159.4,161.9,156.3,151.0,146.3,161.2,4.52,1.82,4.48,4.07,4.28,5.29,87.2,14.68
2021-05-01,160.5,163.4,157.6,152.3,147.4,161.5,5.38,2.7,5.21,5.18,5.36,5.07,86.6,15.47
2021-06-01,161.8,164.8,160.9,153.5,148.8,162.6,5.2,2.94,6.91,4.78,4.94,4.43,85.91,16.4
2021-07-01,162.0,165.2,160.2,153.8,149.2,164.2,4.45,4.29,5.12,4.41,4.56,5.05,85.8,16.55
2021-08-01,162.9,166.8,161.2,155.0,150.1,165.0,4.36,4.77,4.47,4.31,4.6,4.83,85.33,17.19
2021-09-01,163.6,166.5,163.1,156.0,150.2,165.5,4.27,4.26,5.91,4.56,4.23,4.28,84.96,17.7
2021-10-01,163.8,167.5,162.6,155.8,150.5,165.0,3.87,4.3,4.63,3.94,3.51,3.77,84.86,17.84
2021-11-01,164.5,167.5,163.8,156.2,151.5,165.7,4.58,4.49,6.16,4.27,4.63,4.67,84.5,18.35
2021-12-01,166.7,170.0,166.4,158.5,153.1,168.7,5.17,5.13,7.15,5.39,5.08,4.78,83.38,19.93
2022-01-01,167.2,170.4,164.1,158.9,154.1,168.9,5.96,5.97,6.49,5.86,6.13,6.03,83.13,20.29
2022-02-01,167.7,170.3,163.5,159.5,154.2,169.9,6.82,6.11,6.03,6.83,6.64,7.06,82.89,20.65
2022-03-01,170.1,173.6,166.2,161.9,156.3,170.8,7.93,8.16,7.78,8.22,7.79,7.69,81.72,22.37
2022-04-01,173.9,182.4,176.3,165.4,160.2,175.7,9.1,12.66,12.8,9.54,9.5,9.0,79.93,25.11
2022-05-01,176.4,183.5,180.5,167.1,162.0,178.0,9.91,12.3,14.53,9.72,9.91,10.22,78.8,26.91
2022-06-01,176.8,184.9,180.4,168.2,162.6,178.5,9.27,12.2,12.12,9.58,9.27,9.78,78.62,27.19
2022-07-01,176.5,183.8,179.8,167.9,162.3,178.5,8.95,11.26,12.23,9.17,8.78,8.71,78.75,26.98
2022-08-01,176.5,179.8,179.6,167.7,162.3,178.6,8.35,7.79,11.41,8.19,8.13,8.24,78.75,26.98
2022-09-01,177.6,181.2,182.1,168.7,163.3,178.9,8.56,8.83,11.65,8.14,8.72,8.1,78.27,27.77
2022-10-01,178.2,181.8,178.0,169.1,163.9,180.3,8.79,8.54,9.47,8.54,8.9,9.27,78.0,28.2
2022-11-01,179.6,183.1,178.7,170.9,165.3,181.6,9.18,9.31,9.1,9.41,9.11,9.6,77.39,29.21
2022-12-01,179.9,184.0,180.0,170.8,165.4,181.8,7.92,8.24,8.17,7.76,8.03,7.77,77.27,29.42
2023-01-01,180.5,184.1,175.8,171.9,166.1,182.7,7.95,8.04,7.13,8.18,7.79,8.17,77.01,29.86
2023-02-01,181.6,184.8,178.7,172.3,167.1,182.7,8.29,8.51,9.3,8.03,8.37,7.53,76.54,30.65
2023-03-01,181.4,185.0,177.6,172.3,167.0,183.2,6.64,6.57,6.86,6.42,6.85,7.26,76.63,30.5
2023-04-01,183.5,187.6,179.5,174.0,168.8,185.6,5.52,2.85,1.82,5.2,5.37,5.63,75.75,32.01
2023-05-01,183.5,187.7,180.3,173.8,168.9,186.1,4.02,2.29,-0.11,4.01,4.26,4.55,75.75,32.01
2023-06-01,183.5,187.2,179.5,174.4,168.7,185.7,3.79,1.24,-0.5,3.69,3.75,4.03,75.75,32.01
2023-07-01,188.4,201.2,185.5,179.1,173.2,190.6,6.74,9.47,3.17,6.67,6.72,6.78,73.78,35.54
2023-08-01,188.0,199.6,183.9,178.5,172.5,190.3,6.52,11.01,2.39,6.44,6.28,6.55,73.94,35.25
2023-09-01,186.8,190.3,181.8,176.9,171.8,189.0,5.18,5.02,-0.16,4.86,5.21,5.65,74.41,34.39
2023-10-01,185.6,189.3,182.2,176.0,170.5,187.9,4.15,4.13,2.36,4.08,4.03,4.22,74.89,33.53
2023-11-01,186.1,190.0,182.4,177.2,171.0,187.8,3.62,3.77,2.07,3.69,3.45,3.41,74.69,33.88
2023-12-01,184.4,188.5,181.8,175.2,170.0,185.9,2.5,2.45,1.0,2.58,2.78,2.26,75.38,32.66
2024-01-01,186.7,190.6,182.9,176.9,171.8,189.0,3.43,3.53,4.04,2.91,3.43,3.45,74.45,34.32
2024-02-01,186.9,190.6,183.1,178.0,171.7,188.0,2.92,3.14,2.46,3.31,2.75,2.9,74.37,34.46
2024-03-01,186.2,189.7,181.8,177.3,171.4,187.6,2.65,2.54,2.36,2.9,2.63,2.4,74.65,33.96
2024-04-01,187.7,191.2,185.7,178.1,172.5,189.7,2.29,1.92,3.45,2.36,2.19,2.21,74.05,35.04
2024-05-01,186.4,190.4,182.8,176.8,171.3,188.6,1.58,1.44,1.39,1.73,1.42,1.34,74.57,34.1
2024-06-01,186.1,189.8,181.4,177.1,171.4,187.8,1.42,1.39,1.06,1.55,1.6,1.13,74.69,33.88
2024-07-01,189.4,193.1,185.8,179.7,174.0,191.5,0.53,-4.03,0.16,0.34,0.46,0.47,73.39,36.26
2024-08-01,188.3,191.5,184.8,178.5,173.2,190.1,0.16,-4.06,0.49,0.0,0.41,-0.11,73.82,35.47
2024-09-01,185.6,190.0,181.2,175.9,170.6,186.9,-0.64,-0.16,-0.33,-0.57,-0.7,-1.11,74.89,33.53
2024-10-01,189.7,193.3,186.2,180.4,174.9,191.2,2.21,2.11,2.2,2.5,2.58,1.76,73.27,36.47
2024-11-01,191.0,195.9,188.4,181.4,175.3,192.9,2.63,3.11,3.29,2.37,2.51,2.72,72.77,37.41
2024-12-01,189.5,193.3,184.3,180.0,174.3,191.0,2.77,2.55,1.38,2.74,2.53,2.74,73.35,36.33
2025-01-01,191.2,195.3,188.0,181.5,175.9,192.8,2.41,2.47,2.79,2.6,2.39,2.01,72.7,37.55
2025-02-01,190.8,194.3,187.0,181.4,175.4,191.6,2.09,1.94,2.13,1.91,2.15,1.91,72.85,37.27
2025-03-01,191.5,195.6,186.7,182.0,176.5,193.4,2.85,3.11,2.7,2.65,2.98,3.09,72.58,37.77
2025-04-01,193.1,196.5,188.4,183.8,177.6,195.3,2.88,2.77,1.45,3.2,2.96,2.95,71.98,38.92
2025-05-01,192.8,197.0,188.9,183.1,177.2,193.2,3.43,3.47,3.34,3.56,3.44,2.44,72.1,38.71
